Site,Mean,Median,Slope,Pval,IAV,Type
131,24.0438085,24.07162365,-0.001894349,0.476729058,0.162109279,Leuning
132,23.78631086,23.80539953,-0.004184497,0.100719627,0.110180967,Leuning
133,22.1596766,22.07196155,4.65E-06,1,0.394187939,Leuning
134,24.08132459,24.09126103,0.001100214,0.454555256,0.060744435,Leuning
135,24.07861075,24.0893584,0.001345277,0.358019719,0.061627755,Leuning
136,24.10291033,24.10862323,-0.002239846,0.527098311,0.101713905,Leuning
137,23.82957339,23.81663319,-0.006633959,0.029589571,0.120592065,Leuning
138,24.77296801,24.77918513,0.000638348,0.149590226,0.022087433,Leuning
139,24.55980012,24.57071111,1.62E-05,0.987061709,0.067018072,Leuning
140,24.5644698,24.5751398,0.001865386,0.419898899,0.065680789,Leuning
141,21.74961732,21.74171549,-0.00786365,0.048884634,0.149841194,Leuning
142,23.99954202,23.99927571,0.001391663,0.149590226,0.051405525,Leuning
143,23.71392941,23.72785668,0.008087346,0.01249863,0.144986133,Leuning
144,23.30684543,23.30095228,-0.000621761,0.858806757,0.22143367,Leuning
145,23.72571497,23.73231646,0.002074562,0.306952953,0.096830395,Leuning
146,23.78293419,23.83188267,-0.009295386,0.048657073,0.191528371,Leuning
147,24.18854106,24.17107457,-0.004053456,0.088619061,0.101642143,Leuning
148,24.09664613,24.14491423,-0.007168359,0.046083933,0.136000143,Leuning
149,23.82010764,23.84229494,0.001106974,0.586452625,0.086976223,Leuning
150,24.0473717,24.05034105,0.000362648,0.836526366,0.066339288,Leuning
151,23.82010764,23.84229494,0.001106974,0.586452625,0.086976223,Leuning
1,23.6643785,23.69717553,-0.003598333,0.353545768,0.171262092,Medlyn
2,23.47906964,23.49433925,-0.002833417,0.338682987,0.181513181,Medlyn
3,24.01627078,24.06441363,-0.001360793,0.698489477,0.188703695,Medlyn
4,24.04659945,24.05268453,-0.001417953,0.617392769,0.155111617,Medlyn
5,23.98655436,24.00385966,-0.000360706,0.935376529,0.173989852,Medlyn
6,23.99888539,24.00710555,-0.000214731,0.961198733,0.175676809,Medlyn
7,23.97821003,24.00328903,-0.002195586,0.56334637,0.169018078,Medlyn
8,23.98655436,24.00385966,-0.000360706,0.935376529,0.173989852,Medlyn
9,23.98526471,24.00443029,-0.001750073,0.666151799,0.172453734,Medlyn
10,24.37310404,24.38481277,0.001260926,0.708462963,0.160485266,Medlyn
11,22.89789059,22.95190689,-0.004850119,0.066028378,0.168659174,Medlyn
12,22.89789059,22.95190689,-0.004850119,0.066028378,0.168659174,Medlyn
13,22.67697802,22.71973934,-0.005119469,0.116091857,0.178975243,Medlyn
14,22.67697802,22.71973934,-0.005119469,0.116091857,0.178975243,Medlyn
15,22.56035673,22.56125208,0.000465738,0.943107962,0.167842022,Medlyn
16,22.16475018,22.17178849,0.005923227,0.109368087,0.190991435,Medlyn
17,22.16475018,22.17178849,0.005923227,0.109368087,0.190991435,Medlyn
18,22.06376607,22.10961493,0.007520254,0.009895688,0.202509592,Medlyn
19,22.41789662,22.3681852,-0.011548374,0.003665604,0.20284348,Medlyn
20,21.89419678,21.8762321,-0.000484979,0.905595794,0.184589124,Medlyn
21,21.883717,21.86538439,-0.002555732,0.389889534,0.186881665,Medlyn
22,21.83308417,21.7780098,-0.013481021,0.005553982,0.22000858,Medlyn
23,21.91965576,21.89986095,-0.009834029,0.049740271,0.242334866,Medlyn
24,21.91965576,21.89986095,-0.009834029,0.049740271,0.242334866,Medlyn
25,21.36068972,21.37080879,0.00236581,0.699914766,0.256728304,Medlyn
26,21.8431615,21.84597452,-0.003560858,0.476729058,0.317365401,Medlyn
27,21.93744057,21.93351164,-0.013666695,0.000210466,0.209438154,Medlyn
28,22.76083569,22.80895145,-0.029436742,0.000998225,0.394713264,Medlyn
29,20.59680113,20.61389487,0.001991665,0.858806757,0.348993075,Medlyn
30,19.59725662,19.53240657,-0.013106126,0.138222105,0.436294363,Medlyn
31,19.9518071,19.96150817,-0.015782329,0.061778819,0.397243886,Medlyn
32,21.27223093,21.29291104,-0.008736276,0.109368087,0.258779547,Medlyn
33,21.15651145,21.15248621,-0.011627781,0.057758189,0.262436197,Medlyn
34,20.85953275,20.81699195,-0.017233314,0.006377805,0.35754122,Medlyn
35,21.30911283,21.29111438,-0.012537765,0.066028378,0.341602266,Medlyn
36,22.9983426,23.06723887,-0.007396242,0.172615162,0.294557786,Medlyn
37,22.94522933,22.98037311,-0.008171081,0.125042727,0.280784915,Medlyn
38,22.26194111,22.25462206,-0.007139697,0.040778692,0.175496404,Medlyn
39,23.88125864,23.88358924,-0.004146113,0.259887237,0.173417392,Medlyn
40,22.26194111,22.25462206,-0.007139697,0.040778692,0.175496404,Medlyn
41,23.98052377,24.00488983,-0.006636271,0.146280557,0.195176672,Medlyn
42,23.88125864,23.88358924,-0.004146113,0.259887237,0.173417392,Medlyn
43,24.18993402,24.1906961,-0.004088528,0.235639887,0.198981474,Medlyn
44,22.69656759,22.69169906,-0.004961739,0.192045778,0.187469304,Medlyn
45,23.6918365,23.71837628,0.00037289,0.976347077,0.246121664,Medlyn
46,23.6918365,23.71837628,0.00037289,0.976347077,0.246121664,Medlyn
47,22.18006784,22.22246995,-0.01267759,0.00204592,0.202820923,Medlyn
48,22.39030262,22.41257683,-0.009825546,0.015048543,0.193148593,Medlyn
49,22.54332716,22.56135624,-0.010345811,0.038493605,0.202463921,Medlyn
50,22.72360902,22.74402461,-0.005213346,0.172615162,0.192158753,Medlyn
51,22.61728129,22.58024959,-0.000109406,0.971535874,0.208739299,Medlyn
52,23.68348533,23.70799898,-0.000298656,0.976347077,0.248302054,Medlyn
53,23.68348533,23.70799898,-0.000298656,0.976347077,0.248302054,Medlyn
54,23.68348533,23.70799898,-0.000298656,0.976347077,0.248302054,Medlyn
55,23.68348533,23.70799898,-0.000298656,0.976347077,0.248302054,Medlyn
56,22.54102737,22.5478614,0.002022866,0.485610385,0.124133119,Medlyn
57,23.06431113,23.03745655,0.001510616,0.408214895,0.130122798,Medlyn
58,23.84425329,23.89633989,0.004997055,0.138222105,0.193683453,Medlyn
59,23.85425873,23.84967267,-0.001918478,0.466468277,0.148000219,Medlyn
60,24.81807084,24.84414551,-0.004594413,0.125042727,0.183382229,Medlyn
61,24.81807084,24.84414551,-0.004594413,0.125042727,0.183382229,Medlyn
62,23.85425873,23.84967267,-0.001918478,0.466468277,0.148000219,Medlyn
63,23.85425873,23.84967267,-0.001918478,0.466468277,0.148000219,Medlyn
64,24.81807084,24.84414551,-0.004594413,0.125042727,0.183382229,Medlyn
65,24.45659546,24.49896352,-0.005728517,0.237301779,0.218336098,Medlyn
66,22.42355182,22.44327786,0.004191074,0.373752366,0.206852917,Medlyn
67,20.73755415,20.73961876,0.005826019,0.060816949,0.196349522,Medlyn
