Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
145,39.47,-119.38,NET,1987,21.81291853,21.91169738,19.29257253,simple,Jacobs,0.069367185,15.79405292
145,39.47,-119.38,NET,1987,21.81291853,21.91169738,19.29257253,simple,Jacobs,0.069367185,14.23680311
145,39.47,-119.38,BDT,1987,21.66941463,21.16544717,21.16544717,simple,Jacobs,0.069187909,16.83487884
146,50.42,-118.93,NET,1990,23.01236645,23.59456629,22.30307126,simple,Jacobs,0.980685751,20.81
147,34.05,-118.72,BET,1994,23.48486266,23.71401996,22.78347055,simple,Jacobs,0.474544366,19.5
147,34.05,-118.72,BET,1994,23.48486266,23.71401996,22.78347055,simple,Jacobs,0.474544366,21.5
148,34.132312,-118.11209,NET,2016,22.26702772,22.25840691,21.26586637,simple,Jacobs,0.163625966,22.65127175
149,49.990566,-117.37434,NET,1980,23.27407961,23.69284743,22.91371026,simple,Jacobs,0.851780891,18.04801367
150,34.58,-117.33,BDT,2006,22.11707849,21.52112993,21.52112993,simple,Jacobs,0.766683062,21.41117244
151,48.955344,-117.231452,NET,2012,22.75086627,23.61325941,22.00912635,simple,Jacobs,0.817170004,20.71398111
152,46.72,-117,NDT,1991,NA,20.49634926,20.49634926,simple,Jacobs,0,19.91
153,48.166624,-116.966645,NET,1994,22.52423396,23.45100485,20.92970493,simple,Jacobs,0.606111616,18.53021028
154,48.570448,-116.82267,NET,1994,22.81194537,23.67720008,21.75095119,simple,Jacobs,0.943442921,18.43618128
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,19.57457924
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,19.18369924
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,18.46397924
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,19.57057924
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,17.43012924
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,18.48735424
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,17.80077924
155,48.35,-116.792,NET,2007,22.53969308,23.55194472,21.51187093,simple,Jacobs,0.899406175,19.12207924
155,48.35,-116.792,NDT,2007,21.48863864,21.07054151,21.07054151,simple,Jacobs,0.903956095,18.41572924
156,46.83,-116.72,NET,2001,22.48426173,23.36503239,20.80757054,simple,Jacobs,0.70596232,17.92425691
157,46.803028,-116.531949,NET,2003,22.29332718,23.15556203,20.15786723,simple,Jacobs,0.808490833,19.59661397
158,36,-116.45,BDT,1993,21.3579737,19.69448163,19.69448163,simple,Jacobs,0.140205388,19.3
159,33.95,-115.97,BET,1989,22.46935336,21.99009533,20.53034099,simple,Jacobs,0.031905429,17.41181296
160,36.77,-115.964,BET,2004,NA,NA,NA,simple,Jacobs,0,15.69988978
160,36.77,-115.964,BET,2004,NA,NA,NA,simple,Jacobs,0,18.09988978
160,36.77,-115.964,BDT,2004,21.33670486,20.10080172,20.10080172,simple,Jacobs,0.109595259,20.59988978
160,36.77,-115.964,BDT,2004,21.33670486,20.10080172,20.10080172,simple,Jacobs,0.109595259,17.49988978
161,47.04,-115.88,NET,2000,22.75013256,23.51524666,21.23841986,simple,Jacobs,0.90910389,19.57290242
162,48.42,-115.8,NET,1992,22.79457968,23.54396035,21.99414687,simple,Jacobs,0.831317584,20.86806199
162,48.42,-115.8,NDT,1992,22.17174191,22.04425474,22.04425474,simple,Jacobs,0.828956723,19.97594251
163,33.7,-115.8,BET,2006,22.38232635,22.49769727,19.78749662,simple,Jacobs,0.024294754,20.08875431
164,34.05,-115.8,BET,2006,22.32784211,22.77019849,20.24524211,simple,Jacobs,0.335739185,19.89971591
163,33.7,-115.8,BDT,2006,21.61055372,19.56192055,19.56192055,simple,Jacobs,0.024294754,20.56875431
163,33.7,-115.8,BDT,2006,21.61055372,19.56192055,19.56192055,simple,Jacobs,0.024294754,19.74875431
164,34.05,-115.8,BDT,2006,21.68358439,19.92038307,19.92038307,simple,Jacobs,0.335739185,18.15971591
165,34.933,-115.625,BET,2004,22.34038896,22.54970838,20.27549762,simple,Jacobs,0.156598876,14.26
166,39.9,-115.5,NET,1993,21.80241819,22.72371328,19.98719424,simple,Jacobs,0.112327106,16.13316261
166,39.9,-115.5,NET,1993,21.80241819,22.72371328,19.98719424,simple,Jacobs,0.112327106,16.22684806
167,46.96,-115.35,NET,2000,22.74537922,23.47079639,20.91428247,simple,Jacobs,0.58750697,18.40269474
168,44.17,-115.31,NET,2000,22.26595789,23.39002917,20.66737258,simple,Jacobs,0.524026304,17.96535816
169,41.033139,-115.166699,BDT,1987,21.77225765,21.52318322,21.52318322,simple,Jacobs,0.217146114,18.10536097
170,44.17,-115.06,NET,2000,22.26595789,23.39002917,20.66737258,simple,Jacobs,0.524026304,19.70535816
171,34.95,-114.42,BDT,1987,22.25120438,19.90795711,19.90795711,simple,Jacobs,0.010694647,19.16728941
171,34.95,-114.42,BDT,1987,22.25120438,19.90795711,19.90795711,simple,Jacobs,0.010694647,18.56728941
171,34.95,-114.42,BDT,1987,22.25120438,19.90795711,19.90795711,simple,Jacobs,0.010694647,16.36728941
171,34.95,-114.42,BDT,1988,21.14758221,20.06646562,20.06646562,simple,Jacobs,0.032676605,18.66868941
171,34.95,-114.42,BDT,1988,21.14758221,20.06646562,20.06646562,simple,Jacobs,0.032676605,18.1
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,20.66728941
171,34.95,-114.42,BET,1992,22.2255845,22.14705977,20.48891485,simple,Jacobs,0.069243068,19.5
